measure_id,measure_name,location_id,location_name,country_id,sex_id,sex_name,age_group_id,age_group_name,year_id,rei_id,pathogen,categoria,metric_id,metric,value,lower,upper
1,Deaths,68,Republic of Korea,KOR,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,3.16E-06,2.50E-06,4.26E-06
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,3.22E-06,1.50E-06,5.99E-06
1,Deaths,68,Republic of Korea,KOR,3,Both,22,All Ages,2021,190,Respiratory syncytial virus,,2,Percent,3.28E-06,2.60E-06,4.47E-06
1,Deaths,68,Republic of Korea,KOR,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,3.60E-06,2.85E-06,4.80E-06
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,2021,426,Polymicrobial,,1,Number,5.03E-06,2.56E-06,9.04E-06
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,2020,426,Polymicrobial,,1,Number,5.41E-06,2.85E-06,9.46E-06
1,Deaths,68,Republic of Korea,KOR,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,5.49E-06,4.35E-06,7.28E-06
1,Deaths,68,Republic of Korea,KOR,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,5.49E-06,4.35E-06,7.28E-06
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,2019,426,Polymicrobial,,1,Number,6.09E-06,3.22E-06,1.08E-05
6,Incidence,68,Republic of Korea,KOR,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,6.17E-06,5.63E-06,6.74E-06
6,Incidence,68,Republic of Korea,KOR,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,6.77E-06,6.10E-06,7.52E-06
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,8.53E-06,4.15E-06,1.58E-05
1,Deaths,105,Antigua and Barbuda,ATG,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,8.60E-06,2.43E-06,4.13E-05
6,Incidence,68,Republic of Korea,KOR,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,2,Percent,8.68E-06,7.88E-06,9.48E-06
6,Incidence,68,Republic of Korea,KOR,3,Both,24,15-49 years,2021,190,Respiratory syncytial virus,,2,Percent,8.68E-06,7.88E-06,9.48E-06
1,Deaths,66,Brunei Darussalam,BRN,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,9.09E-06,1.40E-06,4.37E-05
1,Deaths,393,Saint Kitts and Nevis,KNA,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,9.67E-06,2.84E-06,4.54E-05
1,Deaths,110,Dominica,DMA,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,1.21E-05,3.39E-06,5.96E-05
6,Incidence,68,Republic of Korea,KOR,3,Both,22,All Ages,2021,190,Respiratory syncytial virus,,2,Percent,1.32E-05,1.17E-05,1.48E-05
1,Deaths,66,Brunei Darussalam,BRN,3,Both,26,70+ years,2021,190,Respiratory syncytial virus,,2,Percent,1.41E-05,2.35E-06,6.53E-05
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,2021,414,Acinetobacter baumannii,,1,Number,1.45E-05,1.01E-05,2.05E-05
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,2021,187,Influenza,,1,Number,1.52E-05,7.07E-06,2.81E-05
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,1990,426,Polymicrobial,,1,Number,1.55E-05,8.37E-06,2.66E-05
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,2020,414,Acinetobacter baumannii,,1,Number,1.56E-05,1.10E-05,2.20E-05
1,Deaths,367,Monaco,MCO,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,1.59E-05,7.61E-06,2.88E-05
1,Deaths,66,Brunei Darussalam,BRN,3,Both,25,50-69 years,2021,190,Respiratory syncytial virus,,2,Percent,1.62E-05,2.71E-06,7.59E-05
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,2021,426,Polymicrobial,,1,Number,1.64E-05,8.31E-06,2.89E-05
1,Deaths,107,Barbados,BRB,3,Both,23,5-14 years,2021,190,Respiratory syncytial virus,,1,Number,1.66E-05,4.50E-06,8.00E-05
1,Deaths,74,Andorra,AND,3,Both,23,5-14 years,2020,426,Polymicrobial,,1,Number,1.75E-05,9.05E-06,3.05E-05
1,Deaths,396,San Marino,SMR,3,Both,23,5-14 years,2019,414,Acinetobacter baumannii,,1,Number,1.76E-05,1.26E-05,2.47E-05
